,Unnamed: 0,Temperature,Precip,Precip_frac,Sub_ROFF,SF_ROFF,Snow_depth,Date
0,0,280.0533447265625,184.7789306640625,0.009034602902829649,2.29628517445235e-06,5.126943960931385e-06,280.0533447265625,2002-09-01
1,1,277.77734375,186.77101135253903,0.07078365981578827,2.291432565471041e-06,5.827232598676346e-06,277.77734375,2002-09-02
2,2,278.093017578125,187.1669464111328,0.018567321822047237,2.2867388906888664e-06,1.487108249875746e-07,278.093017578125,2002-09-03
3,3,280.22332763671875,187.2113342285156,0.00018475609249435362,2.2809426809544675e-06,2.453684544434509e-07,280.22332763671875,2002-09-04
4,4,282.0799255371094,187.7228546142578,0.00014078429376240817,2.27239752348396e-06,2.65030462287541e-06,282.0799255371094,2002-09-05
5,5,282.341064453125,188.855712890625,6.056401161913528e-06,2.260159362776904e-06,5.2601390052586785e-06,282.341064453125,2002-09-06
6,6,279.7529296875,189.6944580078125,0.0030382364057004447,2.245375299025909e-06,1.5482355593121608e-06,279.7529296875,2002-09-07
7,7,279.05718994140625,191.44461059570312,0.008648108690977097,2.2293070287560117e-06,5.509239144885213e-06,279.05718994140625,2002-09-08
8,8,278.35165405273443,192.6482391357422,0.01709703356027603,2.215999757027021e-06,1.9693484318850096e-06,278.35165405273443,2002-09-09
9,9,276.1585693359375,194.6075592041016,0.07770438492298126,2.205460077675525e-06,6.075963483453961e-06,276.1585693359375,2002-09-10
10,10,274.20205688476557,195.64503479003903,0.2274884432554245,2.1982239104545442e-06,1.3109383871778846e-06,274.20205688476557,2002-09-11
11,11,275.732421875,196.79591369628903,0.1822840124368668,2.192844931414584e-06,1.8181867744715417e-06,275.732421875,2002-09-12
12,12,278.14718627929693,198.4137115478516,0.042269714176654816,2.1868806925340323e-06,3.36291714120307e-06,278.14718627929693,2002-09-13
13,13,279.12539672851557,198.70785522460938,0.016462692990899086,2.17807132685266e-06,2.5257161269109933e-06,279.12539672851557,2002-09-14
14,14,278.36041259765625,199.10728454589844,0.02592836506664753,2.1669402485713363e-06,2.8948450108146062e-06,278.36041259765625,2002-09-15
15,15,277.98895263671875,200.0857391357422,0.027359286323189732,2.153745754185365e-06,3.676944970720797e-06,277.98895263671875,2002-09-16
16,16,276.87771606445307,202.19435119628903,0.11178350448608397,2.1417258722067345e-06,3.664946234493982e-06,276.87771606445307,2002-09-17
17,17,275.03591918945307,203.8685302734375,0.3066083490848541,2.1345972527342383e-06,2.3825925836717947e-06,275.03591918945307,2002-09-18
18,18,272.267333984375,205.41270446777344,0.7810778617858887,2.13208477362059e-06,6.012097060192899e-07,272.267333984375,2002-09-19
19,19,270.63919067382807,206.2838897705078,0.6892552971839905,2.130142320311279e-06,2.4994250225063297e-07,270.63919067382807,2002-09-20
20,20,270.41555786132807,206.38009643554688,0.04661550372838974,2.1270766410452784e-06,4.869223602099738e-08,270.41555786132807,2002-09-21
21,21,272.32394409179693,206.38009643554688,0.0,2.1226499029580737e-06,2.768277909126482e-07,272.32394409179693,2002-09-22
22,22,273.2906494140625,206.38009643554688,0.02764016017317772,2.116568111887318e-06,1.0996819810316083e-06,273.2906494140625,2002-09-23
23,23,274.66818237304693,206.38009643554688,0.0,2.1089463189127855e-06,1.0304239594915998e-06,274.66818237304693,2002-09-24
24,24,276.18930053710943,206.7147216796875,0.024180468171834942,2.099986431858269e-06,4.054233613715042e-06,276.18930053710943,2002-09-25
25,25,276.88641357421875,207.90740966796875,0.004681212361901999,2.0917564143019263e-06,8.204866048799886e-07,276.88641357421875,2002-09-26
26,26,277.66165161132807,210.9794464111328,0.04646382853388786,2.0830639186897315e-06,1.0017064596468117e-05,277.66165161132807,2002-09-27
27,27,274.83404541015625,213.15940856933597,0.18427272140979767,2.077653107335209e-06,8.853309054757118e-07,274.83404541015625,2002-09-28
